,Name of the journal,Number of publication
0,Journal of Polymers and the Environment,194
1,Polymer Degradation and Stability,174
2,Journal of Applied Polymer Science,148
3,Science of the Total Environment,136
4,Journal of Hazardous Materials,94
5,Chemosphere,85
6,Bioresource Technology,82
7,Polymer Composites,77
8,International Biodeterioration and Biodegradation,68
9,Waste Management,61
10,Biomaterials,61
11,Environmental Science and Technology,52
12,Industrial Crops and Products,51
13,Biomacromolecules,47
14,Carbohydrate Polymers,43
15,Environmental Science and Pollution Research,42
16,International Journal of Biological Macromolecules,42
17,Journal of Environmental Polymer Degradation,41
18,Environmental Pollution,40
19,Applied Microbiology and Biotechnology,40
20,Polymer Engineering and Science,39
21,Polymers,39
22,Marine Pollution Bulletin,36
23,Water Research,34
24,Applied and Environmental Microbiology,32
25,Journal of Biomedical Materials Research,32
26,Journal of Biomedical Materials Research - Part A,30
27,Polymer,28
28,Polymer Testing,28
29,Macromolecules,25
30,Sustainability (Switzerland),24
31,Journal of Environmental Management,20
32,Journal of Materials Science: Materials in Medicine,20
33,Waste Management and Research,19
34,PLoS ONE,19
35,Polymer International,19
36,Water Science and Technology,19
37,Frontiers in Microbiology,19
38,Environmental Technology (United Kingdom),18
39,European Polymer Journal,18
40,International Journal of Molecular Sciences,18
41,Acta Biomaterialia,17
42,Biodegradation,17
43,Journal of Polymer Research,17
44,Macromolecular Bioscience,17
45,Polimery/Polymers,16
46,Nature Communications,16
47,,16
48,Scientific Reports,15
49,Journal of Bioscience and Bioengineering,15
50,Ecotoxicology and Environmental Safety,14
51,Materials Science and Engineering C,13
52,ACS Applied Materials and Interfaces,13
53,BioResources,13
54,International Journal of Environmental Science and Technology,13
55,Kobunshi Ronbunshu,13
56,Polymers for Advanced Technologies,13
57,ACS Sustainable Chemistry and Engineering,13
58,Journal of Environmental Chemical Engineering,12
59,Journal of Cleaner Production,12
60,Journal of Biotechnology,12
61,International Journal of Environmental Research and Public Health,12
62,Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering,11
63,Materials,11
64,Scientia Horticulturae,11
65,"Resources, Conservation and Recycling",11
66,Polymer Bulletin,11
67,"Water, Air, and Soil Pollution",11
68,Kunststoffe Plast Europe,11
69,Chemical Engineering Journal,10
70,Journal of the Mechanical Behavior of Biomedical Materials,10
71,Environmental Research,10
72,Journal of Thermal Analysis and Calorimetry,10
73,Green Chemistry,10
74,Journal of Vinyl and Additive Technology,10
75,Biotechnology and Bioengineering,10
76,Plastic and Reconstructive Surgery,10
77,"Journal of Polymer Science, Part A: Polymer Chemistry",10
78,Polymer Journal,10
79,3 Biotech,9
80,Iranian Polymer Journal (English Edition),9
81,New Biotechnology,9
82,Journal of Ecological Engineering,9
83,Journal of Applied Microbiology,9
84,Journal of Biomedical Materials Research - Part B Applied Biomaterials,9
85,Biochemical Engineering Journal,9
86,Composites Science and Technology,9
87,"Zairyo/Journal of the Society of Materials Science, Japan",9
88,Clinical Materials,9
89,Agricultural Water Management,8
90,Materials and Design,8
91,Radiation Physics and Chemistry,8
92,International Journal of Phytoremediation,8
93,Journal of Materials Science,8
94,Polimeros,8
95,RSC Advances,8
96,World Journal of Microbiology and Biotechnology,8
97,Environmental Microbiology,8
98,Composites Part B: Engineering,8
99,"Journal of Biomaterials Science, Polymer Edition",8
100,ACS Symposium Series,8
101,Research Journal of Chemistry and Environment,8
102,Journal of Natural Fibers,8
103,Macromolecular Symposia,8
104,Enzyme and Microbial Technology,8
105,Journal of Environmental Quality,8
106,Industrial and Engineering Chemistry Research,8
107,Starch/Staerke,8
108,Archives of Microbiology,8
109,Molecules,8
110,Microbial Biotechnology,7
111,Environmental Toxicology and Chemistry,7
112,HortScience,7
113,Water Environment Research,7
114,Journal of Composite Materials,7
115,Applied Biochemistry and Biotechnology,7
116,Journal of Agricultural and Food Chemistry,7
117,Journal of Bioactive and Compatible Polymers,7
118,Gaofenzi Cailiao Kexue Yu Gongcheng/Polymeric Materials Science and Engineering,7
119,Journal of Cellular Plastics,7
120,Nature Environment and Pollution Technology,7
121,Biotechnology Letters,7
122,Bulletin of Environmental Contamination and Toxicology,7
123,Frontiers in Bioengineering and Biotechnology,7
124,ACS Applied Polymer Materials,7
125,ACS Catalysis,7
126,Microorganisms,7
127,Fresenius Environmental Bulletin,6
128,"Asian Journal of Microbiology, Biotechnology and Environmental Sciences",6
129,Journal of Biomaterials Applications,6
130,Environmental Monitoring and Assessment,6
131,Critical Reviews in Environmental Science and Technology,6
132,Field Crops Research,6
133,Journal of Pure and Applied Microbiology,6
134,Polish Journal of Environmental Studies,6
135,Journal of Environmental Protection and Ecology,6
136,Colloids and Surfaces B: Biointerfaces,6
137,Journal of Reinforced Plastics and Composites,6
138,Huanjing Kexue/Environmental Science,6
139,Industrial Bioprocessing,6
140,BioCycle,6
141,Polymers and Polymer Composites,6
142,Advances in Polymer Technology,6
143,FEMS Microbiology Letters,6
144,Environmental Technology and Innovation,6
145,Shengwu Gongcheng Xuebao/Chinese Journal of Biotechnology,6
146,Desalination and Water Treatment,5
147,Journal of Chemical Technology and Biotechnology,5
148,Chemical Engineering Transactions,5
149,"Journal of Food, Agriculture and Environment",5
150,Journal of Basic Microbiology,5
151,Polymer - Plastics Technology and Engineering,5
152,Journal of Environmental Science and Health - Part A Toxic/Hazardous Substances and Environmental Engineering,5
153,Macromolecular Materials and Engineering,5
154,"Journal of Environmental Science and Health - Part B Pesticides, Food Contaminants, and Agricultural Wastes",5
155,WIT Transactions on Ecology and the Environment,5
156,Letters in Applied Microbiology,5
157,Progress in Organic Coatings,5
158,Composites Part A: Applied Science and Manufacturing,5
159,Journal of the American Chemical Society,5
160,Materials World,5
161,Journal of Materials Science Letters,5
162,Journal of Bacteriology,5
163,Werkstoffe und Korrosion,5
164,Environmental Challenges,5
165,Biomass Conversion and Biorefinery,5
166,Materials Today: Proceedings,5
167,Environment International,5
168,Proceedings of the National Academy of Sciences of the United States of America,5
169,Science,4
170,Macromolecular Research,4
171,Biotechnology Journal,4
172,Materials Research,4
173,Fibres and Textiles in Eastern Europe,4
174,International Journal of Polymer Science,4
175,Biomedical Materials (Bristol),4
176,Chinese Journal of Applied Ecology,4
177,Journal of Materials Chemistry B,4
178,Journal of Polymer Engineering,4
179,AMB Express,4
180,Chinese Journal of Applied and Environmental Biology,4
181,Advanced Functional Materials,4
182,Journal of Solid Waste Technology and Management,4
183,Journal of Elastomers and Plastics,4
184,Journal of Biobased Materials and Bioenergy,4
185,Revista Internacional de Contaminacion Ambiental,4
186,"JAOCS, Journal of the American Oil Chemists' Society",4
187,Brazilian Journal of Chemical Engineering,4
188,Biomass and Bioenergy,4
189,Journal of Materials Chemistry,4
190,Bioremediation Journal,4
191,International Journal of Polymeric Materials and Polymeric Biomaterials,4
192,Soil Biology and Biochemistry,4
193,Communications in agricultural and applied biological sciences,4
194,Process Biochemistry,4
195,Plastics Engineering,4
196,"Journal of Polymer Science, Part B: Polymer Physics",4
197,International Journal of Systematic and Evolutionary Microbiology,4
198,Aquatic Toxicology,4
199,Journal of Microbiology and Biotechnology,4
200,Journal of periodontology,4
201,Modern Plastics,4
202,Microbial Cell Factories,4
203,Cellulose,4
204,Microbial Ecology,4
205,Bioresource Technology Reports,4
206,Water (Switzerland),4
207,Journal of Materials Research and Technology,4
208,International Journal of Polymer Analysis and Characterization,4
209,Journal of Controlled Release,3
210,Frontiers in Environmental Science,3
211,Tissue Engineering - Part A,3
212,Italian Journal of Agronomy,3
213,Food Chemistry,3
214,Revista Materia,3
215,Acta Horticulturae,3
216,Brazilian Journal of Biology,3
217,Journal of Environmental Biology,3
218,Compost Science and Utilization,3
219,Fibers and Polymers,3
220,Crop Protection,3
221,Applied Clay Science,3
222,International Journal of Environmental Research,3
223,HortTechnology,3
224,Journal of Membrane Science,3
225,International Journal of ChemTech Research,3
226,Journal of Nanoscience and Nanotechnology,3
227,Wood Research,3
228,Journal of Nanomaterials,3
229,Journal of Plastic Film and Sheeting,3
230,Maderas: Ciencia y Tecnologia,3
231,Surface and Coatings Technology,3
232,Reactive and Functional Polymers,3
233,Revista Mexicana de Ingeniera Quimica,3
234,International Journal of Plastics Technology,3
235,Packaging Technology and Science,3
236,Journal of Orthopaedic Research,3
237,Electronic Journal of Biotechnology,3
238,Polimeri,3
239,Asian Journal of Chemistry,3
240,Polymer Science - Series D,3
241,African Journal of Biotechnology,3
242,Plastics Technology,3
243,Journal of Environmental Engineering,3
244,Journal of Industrial Ecology,3
245,Environmental Technology,3
246,Canadian Journal of Chemical Engineering,3
247,Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy,3
248,Ultrasonics Sonochemistry,3
249,Pollution Research,3
250,Nature,3
251,Journal of Food Engineering,3
252,Tissue Engineering,3
253,"Nihon Kikai Gakkai Ronbunshu, C Hen/Transactions of the Japan Society of Mechanical Engineers, Part C",3
254,Soil Science and Plant Nutrition,3
255,Macromolecular Rapid Communications,3
256,Vysokomolekularnye Soedineniya. Ser.A Ser.B Ser.C - Kratkie Soobshcheniya,3
257,Indian Journal of Environmental Protection,3
258,Transactions of the American Society of Agricultural Engineers,3
259,Chemistry in Britain,3
260,Shengwu Yixue Gongchengxue Zazhi/Journal of Biomedical Engineering,3
261,Advanced Materials,3
