,Name of the Author,# of publication,Affiliation
0,18, Tosin M.," Tosin, M., Novamont S.p.A., via Fauser 8, Novara, 28100, Italy"
1,17,Degli-Innocenti F.,"Degli-Innocenti, F., Novamont S.p.A., via Fauser 8, Novara, 28100, Italy"
2,17, Kitamoto H.," Kitamoto, H., Institute for Agro-Environmental Sciences, National Agriculture and Food Research Organization (NARO), Japan"
3,14, Rosa D.S.," Rosa, D.S., Engineering, Modeling, and Applied Social Sciences Center (CECS), Av. dos Estados, Federal University of ABC, A 732-1, Santa Terezinha, SP, Santo André, 5001, Brazil"
4,14, Doi Y.," Doi, Y., Polymer Chemistry Laboratory, RIKEN Institute, 2-1 Hirosawa, Wako-shi, Saitama 351-0198, Japan, Dept. of Innovative/Engineered Mat., Tokyo Institute of Technology, 4259 Nagatsuta, Midori-ku, Yokohama 226-8502, Japan"
5,13, Mohanty A.K.," Mohanty, A.K., School of Engineering, Thornbrough Building, University of Guelph, 50 Stone Road East, Guelph, ON, Canada, Bioproducts Discovery and Development Centre, Department of Plant Agriculture, Crop Science Building, University of Guelph, 50 Stone Road East, Guelph, ON, Canada"
6,13, Kunioka M.," Kunioka, M., National Institute of Advanced Industrial Science and Technology (AIST), 1-1-1 Higashi, Tsukuba, Ibaraki, 305-8565, Japan"
7,12, Zhang L.," Zhang, L., Department of Chemistry, Wuhan University, Wuhan 430072, China"
8,12, Wu W.-M.," Wu, W.-M., Department of Civil and Environmental Engineering, William & Cloy Codiga Resource Recovery Center, Center for Sustainable Development & Global Competitiveness, Stanford University, Stanford, CA  94305, United States"
9,12, Watanabe T.," Watanabe, T., Institute for Agro-environmental Sciences, National Agriculture and Food Research Organization (NARO), Tsukuba, Japan, Gunma Industrial Technology Center, 884-1 Kamesato, Maebashi, Gunma, 379-2147, Japan"
10,12, Sameshima-Yamashita Y.," Sameshima-Yamashita, Y., Institute for Agro-Environmental Sciences, National Agriculture and Food Research Organization (NARO), Japan"
11,12, Criddle C.S.," Criddle, C.S., Department of Civil and Environmental Engineering, Stanford University, Stanford, CA  94305, United States"
12,12, Chiellini E.," Chiellini, E., Laboratory of Bioactive Polymeric Materials for Biomedical and Environmental Applications (BIOlab), UdR INSTM, Department of Chemistry and Industrial Chemistry, University of Pisa, Via Vecchia Livornese 1291, Loc. San Piero a Grado, 56122 Pisa, Italy"
13,12, Auras R.," Auras, R., School of Packaging, Michigan State University, East Lansing, MI  48824-1223, United States"
14,11,Tokiwa Y.,"Tokiwa, Y., National Institute of Advanced Industrial Science and Technology (AIST), Tsukuba Central 6, Higashi, Tsukuba, Ibaraki 305-8566, Japan"
15,11,Shogren R.L.,"Shogren, R.L., Plant Polymer Research Unit, National Center for Agricultural Utilization Research, USDA/ARS, 1815 N. University St., Peoria, IL 61604, United States"
16,11, Misra M.," Misra, M., School of Engineering, Thornbrough Building, University of Guelph, 50 Stone Road East, Guelph, ON, Canada, Bioproducts Discovery and Development Centre, Department of Plant Agriculture, Crop Science Building, University of Guelph, 50 Stone Road East, Guelph, ON, Canada"
17,11, Miles C.A.," Miles, C.A., Department of Horticulture, Washington State University, Northwestern Washington Research & Extension Center, Mount Vernon, WA  98273, United States"
18,11, Imam S.H.," Imam, S.H., Bioproduct Chemistry and Engineering Research Unit, WRRC, ARS-USDA, Albany, CA, 94710, United States"
19,11, Hayes D.G.," Hayes, D.G., Department of Biosystems Engineering and Soil Science, University of Tennessee, Knoxville, TN  37996, United States"
20,11, Funabashi M.," Funabashi, M., National Institute of Advanced Industrial Science and Technology (AIST), 1-1-1 Higashi, Tsukuba, Ibaraki, 305-8565, Japan"
21,11, Cooper D.G.," Cooper, D.G., Department of Chemical Engineering, McGill University, Montréal, QC, Canada"
