,Name of the country,# of publication,# of publication (fractional)
0,china,583,516.8375263625265
1,united states,472,369.5081252081253
2,india,293,271.80820568320564
3,japan,264,237.0638888888889
4,italy,180,144.1409812409813
5,germany,136,96.66320901320901
6,brazil,130,116.47896825396823
7,south korea,121,103.91370573870574
8,spain,120,93.79094516594512
9,france,115,82.01792929292931
10,canada,109,82.81777666777671
11,united kingdom,104,61.44433621933623
12,poland,93,79.87258297258298
13,malaysia,68,55.61541514041514
14,thailand,67,57.060714285714276
15,australia,59,35.37644300144301
16,netherlands,57,35.06507936507936
17,iran,55,47.51529581529582
18,switzerland,48,28.79256854256854
19,greece,43,29.863744588744577
20,argentina,38,33.52619047619047
21,taiwan,38,32.330952380952375
22,mexico,38,31.692857142857143
23,sweden,38,29.821825396825396
24,belgium,37,21.099603174603175
25,egypt,36,20.700396825396822
26,pakistan,33,23.94087301587301
27,turkey,31,27.330952380952382
28,portugal,26,20.1
29,singapore,25,17.015151515151516
30,denmark,25,16.2734126984127
31,ireland,24,15.049531024531024
32,finland,23,19.352777777777778
33,austria,20,13.970238095238097
34,saudi arabia,16,6.209676434676435
35,colombia,15,9.111904761904762
36,romania,14,12.375
37,kuwait,14,12.095238095238097
38,israel,14,11.666666666666666
39,nigeria,14,10.019444444444446
40,new zealand,13,9.034523809523808
41,indonesia,12,8.113888888888889
42,slovakia,11,11.0
43,serbia,11,7.5507936507936515
44,south africa,11,6.93452380952381
45,vietnam,11,4.512978687978688
46,norway,10,5.8
47,chile,9,5.484848484848484
48,algeria,8,5.941666666666666
49,tunisia,8,4.127777777777777
50,slovenia,7,6.523809523809524
51,hungary,7,5.916666666666666
52,croatia,7,5.342857142857143
53,united arab emirates,6,3.8027777777777776
54,philippines,6,3.4166666666666665
55,bangladesh,6,3.357142857142857
56,ecuador,5,3.75
57,lithuania,4,3.3333333333333335
58,morocco,4,3.2
59,kenya,4,2.840909090909091
60,qatar,4,2.4761904761904763
61,mauritius,3,3.0
62,costa rica,3,2.4
63,ethiopia,3,1.3928571428571428
64,peru,2,2.0
65,cote d'ivoire,2,2.0
66,latvia,2,1.9090909090909092
67,oman,2,1.6666666666666665
68,bulgaria,2,1.6
69,uruguay,2,1.5
70,venezuela,2,1.3333333333333333
71,yemen,2,1.25
72,cyprus,2,1.1666666666666667
73,iraq,2,1.1428571428571428
74,uganda,2,1.0769230769230769
75,cambodia,1,1.0
76,ghana,1,1.0
77,malta,1,1.0
78,north macedonia,1,1.0
79,lebanon,1,1.0
80,bosnia and herzegovina,1,1.0
81,estonia,1,1.0
82,zimbabwe,1,1.0
83,ukraine,1,1.0
84,iceland,1,1.0
85,afghanistan,1,1.0
86,armenia,1,1.0
87,cameroon,1,1.0
88,cuba,1,1.0
89,jordan,1,1.0
